iter	Passed	Remaining
0	1	165
1	2	139
2	4	138
3	5	127
4	6	122
5	7	118
6	8	118
7	10	116
8	11	116
9	13	119
10	15	126
11	16	122
12	18	120
13	19	118
14	20	115
15	21	112
16	22	110
17	23	108
18	24	105
19	25	102
20	26	100
21	27	98
22	28	96
23	29	94
24	31	93
25	32	91
26	33	89
27	35	91
28	37	92
29	40	94
30	42	94
31	45	96
32	47	96
33	50	97
34	52	96
35	54	97
36	56	96
37	58	95
38	61	95
39	63	95
40	65	94
41	66	92
42	69	91
43	71	91
44	74	90
45	76	89
46	78	88
47	81	88
48	83	87
49	85	85
50	88	84
51	90	83
52	93	82
53	98	83
54	102	83
55	106	83
56	111	83
57	115	83
58	118	82
59	123	82
60	128	82
61	132	81
62	137	80
63	142	80
64	145	78
65	148	76
66	150	74
67	153	72
68	155	69
69	157	67
70	158	64
71	160	62
72	162	60
73	165	57
74	167	55
75	168	53
76	171	51
77	173	49
78	176	46
79	178	44
80	181	42
81	183	40
82	186	38
83	188	35
84	191	33
85	193	31
86	196	29
87	198	27
88	200	24
89	203	22
90	205	20
91	208	18
92	210	15
93	213	13
94	215	11
95	217	9
96	220	6
97	222	4
98	225	2
99	227	0
